,peak_id,peak_name,pk_name_2,location,height_m,himal,region,open,unlisted,trekking,restrict,country_host,country_status,year,season,expid,summiter_country,summiters
170,KALI,Kali Himal,"Chota Ri, Baruntse North",Khumbu Himal (NW of Baruntse),6985,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,1983,Spring,KALI83101,Netherlands,"Joost Ubblink, Edwin Van Nieuwkerk"
171,KAN1,Kande Hiunchuli North  I,,Kanjiroba Himal (NW of Kanjiroba),6521,Kanjiroba,Kanjiroba-Far West,False,True,False,,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
172,KAN2,Kande Hiunchuli North  II,,Kanjiroba Himal (NW of Kanjiroba),6471,Kanjiroba,Kanjiroba-Far West,False,True,False,,Nepal only,Climbed,1980,Spring,KAN280101,Switzerland,"Daniel Chevallier, Pierre Galland"
173,KANB,Kangbachen,Kambachen,Kangchenjunga Himal (W Spur of Kangchenjunga),7902,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Nepal only,Climbed,1974,Spring,KANB74101,Poland,"Wojciech Branski, Wieslaw Klaput, Marek Malatynski, Kazimierz Olech, Zbigniew Rubinowski"
174,KANC,Kangchenjunga Central,,Kangchenjunga Himal (between Main and South summits),8473,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Nepal & India,Climbed,1978,Spring,KANC78102,Poland,"Wojciech Branski, Zygmunt Heinrich, Kazimierz Olech"
175,KAND,Kande Hiunchuli,,Kanjiroba Himal (WNW of Kanjiroba),6627,Kanjiroba,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,1972,Autumn,KAND72301,Japan,"Toyokazu Hirota, Shigeru Kuwahata"
176,KANG,Kangchenjunga,,Kangchenjunga Himal,8586,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Nepal & India,Climbed,1955,Spring,KANG55101,UK,"George Band, Joe Brown"
177,KANN,Kangchenjunga North,,Kangchenjunga Himal (small knob north of Main summit),7938,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,Opened in 2014,Nepal & India,Unclimbed,0,Unknown,,,Unclimbed?
178,KANS,Kangchenjunga South,,Kangchenjunga Himal,8476,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Nepal & India,Climbed,1978,Spring,KANS78101,Poland,"Eugeniusz Chrobak, Wojciech Wroz"
179,KANT,Kanti Himal,"Ronglai Kangri, Kaqur Kangri, Kubi Grangri",Kanti Himal (NNW of Kanjiroba on Tibetan border),6850,Kanti/Palchung,Kanjiroba-Far West,True,False,False,Opened in 2002,Nepal & China,Climbed,2002,Autumn,KANT02301,"Japan, Nepal","Toyoji Wada, Katsumi Nishida, Atsushi Senda, Hyosuke Tsuboi, Yusuke Ueda, Ang Mingm Sherpa, Karchen Dawa Sherpa, Nga Dorje Sherpa"
180,KAPT,Kaptang,,Kanti Himal (NW of Kanti Himal peak on Tibetan border),5965,Kanti/Palchung,Kanjiroba-Far West,True,False,False,Opened in 2002,Nepal & China,Climbed,2009,Autumn,KAPT09201,"Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irizawa, Gombu Sherpa"
